CED_Name,CED_Number,vote_yes,pop,females,first_nations_pop,born_overseas,completed_highschool,median_age,age_over_65,median_monthly_mortgage_repayment,median_income_personal,median_income_family,median_income_household,median_rent,avg_household_size,married,divorced,never_married,unemployment,bachelors_degree,postgrad_degree,christian,hinduism,islam,judaism,no_religion
Sturt,CED410, 71.5 ,149164,77712,1066,48120,74041,41,31067,1733,636,1750,1328,300,2.4,63515,10308,39149,6.9,25483,8821,79196,4057,2666,225,45773
Wakefield,CED411, 61.6 ,168212,84558,4404,32168,48354,36,24946,1300,539,1320,1089,245,2.6,58630,12730,48336,10,8232,1401,80649,1355,2557,40,64014
Brand,CED501, 61.3 ,164031,82028,3970,53041,55973,34,19006,1950,683,1775,1533,350,2.7,61152,11000,45356,10,11000,2117,80049,1549,1159,63,60241
Burt,CED502, 54.6 ,168783,84254,3974,67978,67188,33,18300,1900,672,1726,1539,350,2.8,67107,10087,45514,9.4,16796,4749,79374,6108,8662,65,50795
Canning,CED503, 52.7 ,146019,73891,2977,37516,46987,41,28281,1950,604,1626,1341,320,2.6,61040,11173,35060,9.3,9632,1745,77872,785,641,82,49993
Cowan,CED504, 67.9 ,147538,74189,2336,56109,59449,35,17414,1993,662,1793,1620,380,2.9,59587,9160,39047,8.3,13729,2579,76773,3239,6239,195,41959
Curtin,CED505, 54.6 ,143086,73563,886,47536,84629,38,23617,2500,939,2782,2052,400,2.4,56578,9362,43691,6.2,35013,12575,70118,2490,1364,529,50652
Durack,CED506, 65.7 ,181764,83060,30305,29657,55556,35,18183,1733,888,1974,1656,188,2.6,64524,11774,57715,6.3,12292,2062,90239,894,1502,67,58738
Forrest,CED507, 72.7 ,147768,74891,3291,28723,48286,40,24578,1757,654,1646,1361,310,2.5,60556,10911,35987,6.9,12242,1891,75116,492,684,90,53894
Fremantle,CED508, 53.4 ,148744,75880,2175,48346,67444,37,19944,2100,773,2077,1713,380,2.5,57194,10833,43894,7.4,20648,5769,74762,1574,1423,184,52635
Hasluck,CED509, 67.7 ,143626,70743,4089,44243,55735,38,21855,1950,685,1805,1527,350,2.7,57843,10286,39064,8.1,13831,3351,71733,2355,3531,107,47304
Moore,CED510, 65.3 ,140258,70718,877,54190,67201,39,18879,2100,782,2263,2002,410,2.8,63126,8116,34966,6.8,19697,4412,78540,1058,1204,151,46759
O'Connor,CED511, 61.1 ,156323,76555,9198,27487,47445,40,25900,1517,667,1642,1325,225,2.4,61566,11198,41257,5.7,10396,1749,77727,566,916,46,54614
Pearce,CED512, 61.6 ,181763,91795,4049,64746,67790,33,19389,2076,731,1857,1658,360,2.8,71104,11193,48250,8.2,13780,2780,91417,2541,2110,131,62242
Perth,CED513, 64.7 ,151089,75634,1735,57130,80784,36,20831,2042,829,2141,1700,380,2.3,54422,11157,54617,7.3,29284,8607,68154,3105,3243,1270,51979
Stirling,CED514, 83.7 ,147992,75389,1726,58694,71418,36,23308,1986,723,1847,1475,350,2.4,58016,10868,43965,7.8,23064,5741,74937,3910,6599,2168,39579
Swan,CED515, 61.6 ,163202,81047,2880,67079,84038,34,21697,2000,720,1897,1527,360,2.4,58464,11810,57306,9,27497,8784,71897,4542,8832,146,50762
Tangney,CED516, 61.0 ,136038,69914,919,53559,71607,41,24237,2142,716,2156,1797,400,2.7,61055,7635,34812,7.6,25552,7620,70695,3490,2489,123,41910
Bass,CED601, 61.0 ,101390,52099,3429,12057,30907,41,19100,1300,558,1372,1053,220,2.3,37672,8308,28932,7.8,9133,2166,51469,657,722,53,37103
Braddon,CED602, 75.0 ,97058,49808,7274,8319,21598,44,19991,1153,523,1276,982,200,2.3,37447,8212,25110,7.8,5617,1028,51070,187,132,26,35493
Denison,CED603, 30.4 ,102573,52758,3068,18425,45221,39,17846,1408,638,1622,1224,265,2.3,34909,8736,34075,7.1,14750,5735,44408,1372,1291,82,43231
Franklin,CED604, 80.8 ,104446,53619,4740,13056,37773,43,20278,1450,642,1572,1265,270,2.4,41865,8781,26575,5.3,11418,3191,51732,256,256,50,41645
Lyons,CED605, 36.3 ,103510,51790,4999,9227,24943,45,21433,1200,510,1228,981,209,2.4,41277,9098,26307,7.2,5930,1261,54482,82,92,36,37160
Lingiari,CED701, 62.3 ,114545,54495,47811,13760,28258,32,7620,2006,653,1634,1705,100,3.1,39025,5943,36960,9.8,6880,1874,56445,588,1104,45,29990
Solomon,CED702, 55.6 ,114120,55594,9752,32079,48685,33,8695,2167,1047,2381,2176,420,2.7,39602,7371,38445,4.7,13948,4408,52067,2968,1956,79,37687
Canberra,CED801, 70.0 ,196037,99615,3480,47404,109376,37,28565,2058,1016,2498,2087,390,2.5,76922,13550,60035,4.6,34951,16101,94080,3620,3711,346,70053
Fenner,CED802, 56.8 ,202955,102909,3206,58200,115141,33,21814,2058,977,2384,2041,380,2.6,78375,11932,62511,4.8,36850,18728,87264,6593,6159,300,76674
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
